tension	ID_Bus	Coord_X	Coord_Y	modelo	estado
13,2 kV	781.0	2564740.4252543394	6498183.256562789	NULL	NULL
13,2 kV	782.0	2564636.2890470535	6497665.322195109	NULL	NULL
13,2 kV	783.0	2565053.3342523603	6499811.076168471	NULL	NULL
13,2 kV	784.0	2565480.6591044283	6498456.966403197	Cuchilla	Cerrado
13,2 kV	785.0	2565084.933296377	6499956.130896308	Cuchilla	Cerrado
13,2 kV	786.0	2564411.77831964	6499995.49831367	NULL	NULL
13,2 kV	787.0	2563775.596038863	6500129.514867121	NULL	NULL
13,2 kV	788.0	2563751.187918419	6500118.397941604	Fusible	Cerrado
13,2 kV	789.0	2563643.954610453	6499599.829919733	NULL	NULL
13,2 kV	790.0	2563511.370631653	6499042.894760595	NULL	NULL
13,2 kV	791.0	2563494.7439160547	6498959.779671688	NULL	NULL
13,2 kV	792.0	2563481.38792156	6498891.218936061	NULL	NULL
13,2 kV	793.0	2563594.3293470982	6499612.182222132	Fusible	Abierto
13,2 kV	794.0	2563071.2356296373	6499737.841379036	NULL	NULL
13,2 kV	795.0	2562995.6742576007	6499768.065918605	NULL	NULL
13,2 kV	796.0	2565027.8503548093	6499868.050323336	Fusible	Cerrado
13,2 kV	797.0	2565066.015401964	6499862.206856785	NULL	NULL
13,2 kV	798.0	2565320.7724778005	6499808.0897030635	NULL	NULL
13,2 kV	799.0	2565097.2238293625	6499857.572872385	Cuchilla-Fusible	Cerrado
13,2 kV	800.0	2565742.4885130515	6499714.741583649	NULL	NULL
13,2 kV	801.0	2566226.2876665927	6499609.940199032	NULL	NULL
13,2 kV	802.0	2565779.43777282	6499704.477881082	NULL	NULL
13,2 kV	803.0	2566233.7259656927	6499648.966581097	Fusible	Cerrado
13,2 kV	804.0	2566250.360148323	6499737.674957712	NULL	NULL
13,2 kV	805.0	2565197.0968395555	6500502.875474971	NULL	NULL
13,2 kV	806.0	2565341.475763436	6501179.614188723	NULL	NULL
13,2 kV	807.0	2565438.965565953	6501661.485335591	NULL	NULL
13,2 kV	808.0	2565492.589397053	6501907.71127476	Fusible	Cerrado
13,2 kV	809.0	2565497.037404425	6501924.016156832	NULL	NULL
13,2 kV	810.0	2565361.496567223	6501416.472267177	Fusible	Cerrado
13,2 kV	811.0	2565388.3835703507	6501411.171574441	NULL	NULL
13,2 kV	812.0	2565029.424017822	6501543.815788611	NULL	NULL
13,2 kV	813.0	2565017.834317874	6501487.431938567	NULL	NULL
13,2 kV	814.0	2565092.0505930814	6501852.991123218	Fusible	Cerrado
13,2 kV	815.0	2565094.19140805	6501863.252397011	NULL	NULL
13,2 kV	816.0	2565500.388186094	6501922.206255411	Fusible-interconectador	Abierto
13,2 kV	817.0	2565484.525131082	6501932.825953393	Fusible	Cerrado
13,2 kV	818.0	2565516.6663658493	6501913.413775612	NULL	NULL
13,2 kV	819.0	2565528.477794343	6501901.481504664	Cuchilla	Cerrado
13,2 kV	820.0	2565692.712474486	6501735.566543308	NULL	NULL
13,2 kV	821.0	2565811.305061773	6501616.857206466	NULL	NULL
13,2 kV	822.0	2565929.4008285487	6501482.218805004	NULL	NULL
13,2 kV	823.0	2565636.1468174155	6502475.73497869	NULL	NULL
13,2 kV	824.0	2565525.682080551	6501955.723311257	NULL	NULL
13,2 kV	825.0	2565674.959800129	6502643.776486335	NULL	NULL
13,2 kV	826.0	2565653.671604706	6502558.225236853	Fusible	Cerrado
13,2 kV	827.0	2564280.9737533703	6502711.524638135	NULL	NULL
13,2 kV	828.0	2564399.325099506	6502683.411173619	NULL	NULL
13,2 kV	829.0	2564544.7853847253	6502637.662949975	NULL	NULL
13,2 kV	830.0	2563032.918075829	6503748.132339854	NULL	NULL
13,2 kV	831.0	2562805.3339533275	6504391.755765041	Fusible	Cerrado
13,2 kV	832.0	2562796.7331831977	6504417.477071618	NULL	NULL
13,2 kV	833.0	2563009.562799027	6503741.3544774605	Fusible	Cerrado
13,2 kV	834.0	2562781.6242861394	6503669.470782837	NULL	NULL
